initialization,selection,crossover,mutation,mutation_rate,avg_fitness
initialize_population_uniform,tournament_selection,one_point_crossover,gaussian_mutation,0.1,0.9525017258719766
initialize_population_uniform,tournament_selection,one_point_crossover,gaussian_mutation,0.05,0.9503120175551827
initialize_population_uniform,tournament_selection,one_point_crossover,gaussian_mutation,0.01,0.9341803124411818
initialize_population_uniform,tournament_selection,one_point_crossover,polynomial_mutation,0.1,0.9501590888142735
initialize_population_uniform,tournament_selection,one_point_crossover,polynomial_mutation,0.05,0.9508685529884466
initialize_population_uniform,tournament_selection,one_point_crossover,polynomial_mutation,0.01,0.9402443846482764
initialize_population_uniform,tournament_selection,arithmetical_crossover,gaussian_mutation,0.1,0.9380122481902491
initialize_population_uniform,tournament_selection,arithmetical_crossover,gaussian_mutation,0.05,0.9260652493999743
initialize_population_uniform,tournament_selection,arithmetical_crossover,gaussian_mutation,0.01,0.9158214206143913
initialize_population_uniform,tournament_selection,arithmetical_crossover,polynomial_mutation,0.1,0.9147522792209113
initialize_population_uniform,tournament_selection,arithmetical_crossover,polynomial_mutation,0.05,0.9329277940451911
initialize_population_uniform,tournament_selection,arithmetical_crossover,polynomial_mutation,0.01,0.9187183889202408
initialize_population_uniform,tournament_selection,laplace_crossover,gaussian_mutation,0.1,0.9041769293924465
initialize_population_uniform,tournament_selection,laplace_crossover,gaussian_mutation,0.05,0.9081863880541224
initialize_population_uniform,tournament_selection,laplace_crossover,gaussian_mutation,0.01,0.8968884598480702
initialize_population_uniform,tournament_selection,laplace_crossover,polynomial_mutation,0.1,0.8965892360080778
initialize_population_uniform,tournament_selection,laplace_crossover,polynomial_mutation,0.05,0.9066700062470661
initialize_population_uniform,tournament_selection,laplace_crossover,polynomial_mutation,0.01,0.9064991552020251
initialize_population_uniform,split_rank_selection,one_point_crossover,gaussian_mutation,0.1,0.9475725837149124
initialize_population_uniform,split_rank_selection,one_point_crossover,gaussian_mutation,0.05,0.9485704046824729
initialize_population_uniform,split_rank_selection,one_point_crossover,gaussian_mutation,0.01,0.9396002918989964
initialize_population_uniform,split_rank_selection,one_point_crossover,polynomial_mutation,0.1,0.9708056668600147
initialize_population_uniform,split_rank_selection,one_point_crossover,polynomial_mutation,0.05,0.9607243721117138
initialize_population_uniform,split_rank_selection,one_point_crossover,polynomial_mutation,0.01,0.926549233659208
initialize_population_uniform,split_rank_selection,arithmetical_crossover,gaussian_mutation,0.1,0.9186956753994563
initialize_population_uniform,split_rank_selection,arithmetical_crossover,gaussian_mutation,0.05,0.9009897386018382
initialize_population_uniform,split_rank_selection,arithmetical_crossover,gaussian_mutation,0.01,0.9027748963200866
initialize_population_uniform,split_rank_selection,arithmetical_crossover,polynomial_mutation,0.1,0.9298722853565291
initialize_population_uniform,split_rank_selection,arithmetical_crossover,polynomial_mutation,0.05,0.9191935613803217
initialize_population_uniform,split_rank_selection,arithmetical_crossover,polynomial_mutation,0.01,0.9069127330839081
initialize_population_uniform,split_rank_selection,laplace_crossover,gaussian_mutation,0.1,0.8994763494689583
initialize_population_uniform,split_rank_selection,laplace_crossover,gaussian_mutation,0.05,0.8986351800305288
initialize_population_uniform,split_rank_selection,laplace_crossover,gaussian_mutation,0.01,0.8944184563661132
initialize_population_uniform,split_rank_selection,laplace_crossover,polynomial_mutation,0.1,0.9026403433792174
initialize_population_uniform,split_rank_selection,laplace_crossover,polynomial_mutation,0.05,0.901151103553727
initialize_population_uniform,split_rank_selection,laplace_crossover,polynomial_mutation,0.01,0.8939245665751023
initialize_population_he,tournament_selection,one_point_crossover,gaussian_mutation,0.1,0.97637210725859
initialize_population_he,tournament_selection,one_point_crossover,gaussian_mutation,0.05,0.9586209651128005
initialize_population_he,tournament_selection,one_point_crossover,gaussian_mutation,0.01,0.9357690980134461
initialize_population_he,tournament_selection,one_point_crossover,polynomial_mutation,0.1,0.9629671004117734
initialize_population_he,tournament_selection,one_point_crossover,polynomial_mutation,0.05,0.954877366255144
initialize_population_he,tournament_selection,one_point_crossover,polynomial_mutation,0.01,0.9440425134754344
initialize_population_he,tournament_selection,arithmetical_crossover,gaussian_mutation,0.1,0.9286956175298805
initialize_population_he,tournament_selection,arithmetical_crossover,gaussian_mutation,0.05,0.9524956841753095
initialize_population_he,tournament_selection,arithmetical_crossover,gaussian_mutation,0.01,0.9438979706405167
initialize_population_he,tournament_selection,arithmetical_crossover,polynomial_mutation,0.1,0.9402390438247012
initialize_population_he,tournament_selection,arithmetical_crossover,polynomial_mutation,0.05,0.9571782332512371
initialize_population_he,tournament_selection,arithmetical_crossover,polynomial_mutation,0.01,0.9408772905152801
initialize_population_he,tournament_selection,laplace_crossover,gaussian_mutation,0.1,0.9117122134705384
initialize_population_he,tournament_selection,laplace_crossover,gaussian_mutation,0.05,0.8950916386725174
initialize_population_he,tournament_selection,laplace_crossover,gaussian_mutation,0.01,0.9093212467589957
initialize_population_he,tournament_selection,laplace_crossover,polynomial_mutation,0.1,0.9049338901478979
initialize_population_he,tournament_selection,laplace_crossover,polynomial_mutation,0.05,0.9093171962325141
initialize_population_he,tournament_selection,laplace_crossover,polynomial_mutation,0.01,0.8976413732604408
initialize_population_he,split_rank_selection,one_point_crossover,gaussian_mutation,0.1,0.9509995552457765
initialize_population_he,split_rank_selection,one_point_crossover,gaussian_mutation,0.05,0.9562573140784612
initialize_population_he,split_rank_selection,one_point_crossover,gaussian_mutation,0.01,0.9456253126945586
initialize_population_he,split_rank_selection,one_point_crossover,polynomial_mutation,0.1,0.94710086998943
initialize_population_he,split_rank_selection,one_point_crossover,polynomial_mutation,0.05,0.9636100352504963
initialize_population_he,split_rank_selection,one_point_crossover,polynomial_mutation,0.01,0.9440060416966671
initialize_population_he,split_rank_selection,arithmetical_crossover,gaussian_mutation,0.1,0.8978442629253698
initialize_population_he,split_rank_selection,arithmetical_crossover,gaussian_mutation,0.05,0.9146487774881062
initialize_population_he,split_rank_selection,arithmetical_crossover,gaussian_mutation,0.01,0.9040288201168494
initialize_population_he,split_rank_selection,arithmetical_crossover,polynomial_mutation,0.1,0.9377421607015849
initialize_population_he,split_rank_selection,arithmetical_crossover,polynomial_mutation,0.05,0.9189093829811821
initialize_population_he,split_rank_selection,arithmetical_crossover,polynomial_mutation,0.01,0.9243039352471536
initialize_population_he,split_rank_selection,laplace_crossover,gaussian_mutation,0.1,0.8806850583597606
initialize_population_he,split_rank_selection,laplace_crossover,gaussian_mutation,0.05,0.8779329669233681
initialize_population_he,split_rank_selection,laplace_crossover,gaussian_mutation,0.01,0.886518792720876
initialize_population_he,split_rank_selection,laplace_crossover,polynomial_mutation,0.1,0.8952421014677825
initialize_population_he,split_rank_selection,laplace_crossover,polynomial_mutation,0.05,0.8899757774064462
initialize_population_he,split_rank_selection,laplace_crossover,polynomial_mutation,0.01,0.8834547986564862
